url,title,author,date
http://kenh14.vn/nhat-ki-lan-dau-lam-bo-me-cua-cap-vo-chong-u60-o-ha-noi-tho-a-con-la-mon-qua-vo-gia-20190805223654937.chn,"Nhật kí lần đầu làm bố mẹ của cặp vợ chồng U60 ở Hà Nội: ""Thỏ à, con là món quà vô giá!""","Minh Nhân; Design: Jordy, ",00:06 15/08/2019
http://kenh14.vn/lao-cai-sinh-toi-con-gai-thu-3-doi-vo-chong-ngheo-tim-gia-dinh-hiem-muon-de-nhan-nuoi-dua-be-20180803160232994.chn,"Lào Cai: Sinh tới con gái thứ 3, đôi vợ chồng nghèo tìm gia đình hiếm muộn để nhận nuôi đứa bé","Minh Ngọc, ",17:15 03/08/2018
http://kenh14.vn/loi-ong-ngoai-dan-chau-trong-dem-o-cu-cuoi-cung-nha-ngoai-khien-me-hiem-muon-nghen-long-mai-ve-noi-roi-con-dung-quen-ong-nhe-20180411120348439.chn,"Lời ông ngoại dặn cháu trong đêm ở cữ cuối cùng nhà ngoại khiến mẹ hiếm muộn nghẹn lòng: ""Mai về nội rồi, con đừng quên ông nhé!""","Minh Khôi, ",12:31 11/04/2018
http://kenh14.vn/buc-anh-cha-om-con-dau-long-sau-10-nam-doi-cho-va-chuyen-chua-ke-ve-hanh-trinh-chay-chua-miet-mai-cua-cap-vo-chong-hiem-muon-20180612153004085.chn,Bức ảnh cha ôm con đầu lòng sau 10 năm đợi chờ và chuyện chưa kể về hành trình chạy chữa miệt mài của cặp vợ chồng hiếm muộn,"Minh Nhân, ",00:00 13/06/2018
http://kenh14.vn/xot-xa-cau-chuyen-vo-chong-suot-bao-nam-hiem-muon-dong-vien-nhau-di-tim-con-khi-vo-mang-thai-doi-thi-lai-bi-chong-phan-boi-2018071515342846.chn,"Xót xa câu chuyện vợ chồng suốt bao năm hiếm muộn, động viên nhau đi ""tìm"" con, khi vợ mang thai đôi thì lại bị chồng phản bội","Min, ",16:05 15/07/2018
http://kenh14.vn/ha-noi-be-trai-so-sinh-bi-bo-roi-trong-tui-xach-truoc-cua-gia-dinh-hiem-muon-20180208145522335.chn,Hà Nội: Bé trai sơ sinh bị bỏ rơi trong túi xách trước cửa gia đình hiếm muộn,"Minh Ngọc, ",17:05 08/02/2018
http://kenh14.vn/xon-xao-be-trai-bi-bo-roi-truoc-cong-chua-cung-la-thu-20180126121741431.chn,Xôn xao bé trai bị bỏ rơi trước cổng chùa cùng lá thư,"Đức Tùy, ",14:22 26/01/2018
http://kenh14.vn/bo-me-bo-roi-3-be-gai-di-ban-ve-so-moi-ngay-voi-uoc-mo-duoc-tiep-tuc-den-truong-20180202080310572.chn,"Bố mẹ bỏ rơi, 3 bé gái đi bán vé số mỗi ngày với ước mơ được tiếp tục đến trường","Văn Tiên, ",08:26 02/02/2018
http://kenh14.vn/hon-45-trieu-dong-giup-do-3-be-gai-bi-bo-me-bo-roi-khong-co-tien-di-hoc-ban-ve-so-kiem-song-qua-ngay-20180204111733369.chn,"Hơn 45 triệu đồng giúp đỡ 3 bé gái bị bố mẹ bỏ rơi không có tiền đi học, bán vé số kiếm sống qua ngày","Văn Tiên, ",12:49 04/02/2018
http://kenh14.vn/vo-chong-hiem-muon-vat-va-ben-con-2-tuoi-tu-vong-bat-thuong-khi-gui-nha-tre-20181231225540324.chn,Vợ chồng hiếm muộn vật vã bên con 2 tuổi tử vong bất thường khi gửi nhà trẻ,"Hoàng Thanh, ",23:42 31/12/2018
http://kenh14.vn/thanh-nien-chet-bat-thuong-tren-nguoi-co-nhieu-vet-thuong-sau-cuoc-nhau-o-binh-phuoc-20181218112909465.chn,"Thanh niên chết bất thường, trên người có nhiều vết thương sau cuộc nhậu ở Bình Phước","Nguyễn Yên, ",11:50 18/12/2018
http://kenh14.vn/tam-dao-phat-hien-thi-the-nguoi-dan-ong-tu-vong-bat-thuong-trong-rung-20181205163519939.chn,Tam Đảo: Phát hiện thi thể người đàn ông tử vong bất thường trong rừng,"Bá Cường, ",16:53 05/12/2018
http://kenh14.vn/me-con-san-phu-tu-vong-bat-thuong-bac-si-bo-thi-the-thai-nhi-trong-thung-giay-20181122122017923.chn,"Mẹ con sản phụ tử vong bất thường, bác sĩ bỏ thi thể thai nhi trong thùng giấy","Đình Thức, ",12:50 22/11/2018
http://kenh14.vn/san-phu-mang-thai-14-tuan-tu-vong-khi-phau-thuat-nguoi-nha-bao-vay-benh-vien-20180808212742171.chn,"Sản phụ mang thai 14 tuần tử vong khi phẫu thuật, người nhà bao vây bệnh viện","Bảo Ngọ, ",22:04 08/08/2018
http://kenh14.vn/mot-nguoi-phu-nu-lon-tuoi-bi-thanh-nien-chem-nhieu-nhat-vao-nguoi-de-cuop-tai-san-trong-nha-20180724142106991.chn,Một người phụ nữ lớn tuổi bị thanh niên chém nhiều nhát vào người để cướp tài sản trong nhà,"Minh Tuệ, ",14:30 24/07/2018
http://kenh14.vn/hai-anh-trai-phat-hien-em-tu-vong-bat-thuong-canh-bo-suoi-nghi-bi-sat-hai-20180724115745553.chn,"Hai anh trai phát hiện em tử vong bất thường cạnh bờ suối, nghi bị sát hại","Minh Tuệ, ",12:17 24/07/2018
http://kenh14.vn/duoi-theo-2-ten-cuop-giat-nam-thanh-nien-tong-vao-duoi-xe-tai-tu-vong-o-sai-gon-2018072410360485.chn,"Đuổi theo 2 tên cướp giật, nam thanh niên tông vào đuôi xe tải tử vong ở Sài Gòn","Minh Tuệ, ",10:42 24/07/2018
http://kenh14.vn/csgt-truy-bat-doi-tuong-cuop-tai-san-tren-duong-pho-sai-gon-20180612122802897.chn,CSGT truy bắt đối tượng cướp tài sản trên đường phố Sài Gòn,"Minh Tuệ, ",13:04 12/06/2018
http://kenh14.vn/da-bat-duoc-nghi-can-sat-hai-tai-xe-cuop-o-to-o-hai-duong-20180611231304554.chn,Đã bắt được nghi can sát hại tài xế cướp ô tô ở Hải Dương,"Thanh Huyền, ",23:45 11/06/2018
http://kenh14.vn/phat-hien-thi-the-nguoi-dan-ong-bi-be-tong-de-o-canh-duong-de-20180611105135022.chn,Phát hiện thi thể người đàn ông bị bê tông đè ở cạnh đường đê,"Hoàng Hải, ",12:19 11/06/2018
http://kenh14.vn/phat-hien-thi-the-nguoi-dan-ong-trong-nha-ve-sinh-benh-vien-20180606140930007.chn,Phát hiện thi thể người đàn ông trong nhà vệ sinh bệnh viện,"Hoàng Hải, ",17:35 06/06/2018
http://kenh14.vn/hien-truong-noi-phat-hien-thi-the-nam-phuot-thu-thi-an-kien-o-tang-4-thac-lao-phao-2018052219220708.chn,Hiện trường nơi phát hiện thi thể nam phượt thủ Thi An Kiện ở tầng 4 thác Lao Phào,"Tứ Quý, ",19:34 22/05/2018
http://kenh14.vn/di-tham-dong-nu-truong-thon-phat-hien-thi-the-nam-thanh-nien-canh-xe-may-duoi-muong-20180529141858111.chn,"Đi thăm đồng, nữ trưởng thôn phát hiện thi thể nam thanh niên cạnh xe máy dưới mương","Hoàng Hải, ",14:22 29/05/2018
http://kenh14.vn/ha-noi-phat-hien-thi-the-nam-can-bo-trai-giam-cung-chiec-xe-sh-duoi-muong-nuoc-20180227150944184.chn,Hà Nội: Phát hiện thi thể nam cán bộ trại giam cùng chiếc xe SH dưới mương nước,"Ngọc Thắng, ",15:13 27/02/2018
http://kenh14.vn/pham-nhan-vu-hiep-dam-tu-vong-o-trai-giam-sau-khi-len-con-kho-tho-2017101608333607.chn,Phạm nhân vụ hiếp dâm tử vong ở trại giam sau khi lên cơn khó thở,"Ngọc Tú, ",08:39 16/10/2017
http://kenh14.vn/khoi-to-3-nguyen-can-bo-trai-giam-t16-de-2-tu-tu-tron-khoi-phong-biet-giam-20171020144350459.chn,Khởi tố 3 nguyên cán bộ trại giam T16 để 2 tử tù trốn khỏi phòng biệt giam,"Ngọc Thắng, ",14:51 20/10/2017
http://kenh14.vn/dak-lak-gia-danh-quan-giao-trai-giam-de-lua-dao-lay-13-trieu-cua-vo-ban-tu-20171220080441933.chn,Đắk Lắk: Giả danh quản giáo trại giam để lừa đảo lấy 13 triệu của vợ bạn tù,"Trần Nhân - Hải Dương, ",09:00 20/12/2017
http://kenh14.vn/lua-tien-roi-bi-bat-nu-quai-gia-vo-mang-thai-hong-thoat-toi-20171219141449996.chn,"Lừa tiền rồi bị bắt, ""nữ quái"" giả vờ mang thai hòng thoát tội","Văn Nguyễn, ",14:22 19/12/2017
http://kenh14.vn/gia-mao-chu-ky-giam-doc-lua-dao-hon-10-ty-dong-20171122143552156.chn,"Giả mạo chữ ký giám đốc, lừa đảo hơn 10 tỷ đồng","Xuân Mai, ",17:05 22/11/2017
http://kenh14.vn/an-mac-banh-bao-dong-gia-dai-gia-lua-dao-hon-30-xe-may-hieu-suzuki-sport-roi-tau-thoat-20171205115439767.chn,"Ăn mặc bảnh bao đóng giả ""đại gia"" lừa đảo hơn 30 xe máy hiệu Suzuki Sport rồi tẩu thoát","Minh Tuệ, ",12:35 05/12/2017
http://kenh14.vn/nu-quai-xinh-dep-chuyen-lua-dao-xin-viec-lam-sa-luoi-20171212212325162.chn,"""Nữ quái"" xinh đẹp, chuyên lừa đảo xin việc làm ""sa lưới""","Văn Trường, ",22:58 12/12/2017
http://kenh14.vn/tphcm-thieu-tien-tieu-xai-9x-lua-lay-xe-may-cua-phu-nu-de-tiep-tuc-di-cuop-giat-20171219164348121.chn,"TP.HCM: Thiếu tiền tiêu xài, 9x lừa lấy xe máy của phụ nữ để tiếp tục đi cướp giật","Minh Tuệ, ",17:13 19/12/2017
http://kenh14.vn/tam-su-cua-thieu-phu-tro-ve-sau-21-nam-bi-lua-ban-sang-trung-quoc-20171219170100386.chn,Tâm sự của thiếu phụ trở về sau 21 năm bị lừa bán sang Trung Quốc,"Ngọc Hưng, ",17:45 19/12/2017
http://kenh14.vn/gian-truan-duong-ve-cua-nhung-son-nu-bi-lua-ban-qua-bien-gioi-2017121108275594.chn,Gian truân đường về của những sơn nữ bị lừa bán qua biên giới,"Trần Hằng – Nguyễn Hương, ",10:07 11/12/2017
http://kenh14.vn/boc-go-duong-day-lua-ban-6-phu-nu-ra-nuoc-ngoai-lam-gai-mai-dam-20171216104747136.chn,Bóc gỡ đường dây lừa bán 6 phụ nữ ra nước ngoài làm gái mại dâm,"Xuân Mai, ",13:10 16/12/2017
http://kenh14.vn/ky-uc-hai-hung-cua-4-nan-nhan-viet-nam-bi-lua-ban-vao-dong-mai-dam-o-trung-quoc-2017121808021223.chn,Ký ức hãi hùng của 4 nạn nhân Việt Nam bị lừa bán vào động mại dâm ở Trung Quốc,"Vũ Đồng, ",08:18 18/12/2017
http://kenh14.vn/ba-trai-ban-lua-ban-sang-trung-quoc-11-phu-nu-va-tre-em-2017120411583883.chn,Ba trai bản lừa bán sang Trung Quốc 11 phụ nữ và trẻ em,"Xuân Mai, ",14:30 04/12/2017
http://kenh14.vn/nghe-loi-bo-chong-thieu-phu-ban-4-nguoi-dong-huong-sang-trung-quoc-20171027082728899.chn,"Nghe lời bố chồng, thiếu phụ bán 4 người đồng hương sang Trung Quốc","Trịnh Nguyễn - C. Đức, ",09:10 27/10/2017
